,number,time,duration,screen_x,screen_y
513,514,305387,100,94,731
514,515,305925,160,77,797
515,516,306105,100,122,812
516,517,307401,259,106,828
517,518,307700,100,113,821
518,519,308079,100,131,841
519,520,309714,100,33,254
520,521,310631,140,258,207
521,522,311309,140,810,868
522,523,311528,120,775,864
523,524,311667,180,762,898
524,525,312026,180,774,715
525,526,312365,199,818,699
526,527,312684,120,814,689
527,528,313163,100,775,700
528,529,313382,179,823,716
529,530,314239,160,784,757
530,531,314518,120,800,758
531,532,315077,140,805,784
532,533,315795,120,786,773
533,534,316831,120,851,684
534,535,317310,100,819,846
535,536,317469,419,804,825
536,537,318606,120,104,821
537,538,318945,180,122,859
538,539,319722,120,115,829
539,540,319961,120,132,826
540,541,320998,100,107,815
541,542,321497,199,800,807
542,543,321816,160,814,806
543,544,321995,120,850,800
544,545,322194,279,800,822
545,546,322493,100,825,827
546,547,322812,219,793,829
547,548,323351,140,744,753
548,549,323690,239,782,746
549,550,323949,140,760,753
550,551,325006,319,770,765
551,552,325384,120,749,795
552,553,325723,140,804,793
553,554,325943,319,802,803
554,555,326401,159,850,814
555,556,327239,120,852,677
556,557,328116,100,778,697
557,558,329731,120,741,637
558,559,329910,139,740,645
559,560,330070,140,732,614
560,561,330249,100,747,461
561,562,330967,100,714,465
562,563,332223,119,703,516
563,564,332582,180,714,463
564,565,334635,120,138,816
565,566,336131,100,105,817
566,567,337746,160,134,859
567,568,342092,120,616,236
568,569,342391,140,357,249
569,570,343268,100,246,247
570,571,344066,120,258,248
571,572,344365,140,212,252
572,573,344764,140,71,270
573,574,345382,199,253,276
574,575,345860,120,140,822
575,576,347555,100,101,770
576,577,347714,120,107,795
577,578,347894,100,107,774
578,579,348293,140,798,788
579,580,348552,179,776,780
580,581,349589,139,779,751
581,582,349748,100,800,717
582,583,349967,100,786,694
583,584,350466,159,230,280
584,585,351403,239,772,855
585,586,351682,160,769,868
586,587,352360,120,719,857
587,588,352659,159,787,871
588,589,353875,140,795,882
589,590,354094,120,792,885
590,591,354334,120,785,893
591,592,356347,100,306,277
592,593,357623,179,86,770
593,594,358780,179,723,847
594,595,359019,100,756,904
595,596,359318,279,761,800
596,597,359956,100,779,739
597,598,360315,179,732,736
598,599,360514,180,730,736
599,600,360813,120,808,760
600,601,361970,120,793,714
601,602,362209,100,781,705
602,603,363226,120,816,741
603,604,363365,279,786,746
604,605,363744,100,769,693
605,606,364103,120,797,691
606,607,364263,140,801,702
607,608,364522,120,786,766
608,609,365419,100,861,763
609,610,366336,100,97,787
610,611,367034,120,776,758
611,612,367293,179,808,741
612,613,367492,180,807,757
613,614,369048,100,447,228
614,615,369287,100,211,250
615,616,369726,139,578,253
616,617,370683,100,623,250
617,618,371799,140,433,269
618,619,372238,120,427,262
619,620,372377,100,432,215
620,621,374072,100,246,233
621,622,375368,100,41,182
622,623,376385,120,84,642
623,624,378398,120,101,708
624,625,378677,120,90,715
625,626,379216,120,771,677
